ID,Periods,Index_1,ChangesComparedTo4QuartersEarlier_2,Index_3,ChangesComparedTo4QuartersEarlier_4
0,2005KW01,98.8,,98.8,
1,2005KW02,98.1,,98.1,
2,2005KW03,100.3,,100.3,
3,2005KW04,102.7,,102.7,
4,2005JJ00,100.0,,100.0,
5,2006KW01,99.5,0.7,99.5,0.7
6,2006KW02,100.5,2.4,100.5,2.4
7,2006KW03,100.0,-0.3,100.0,-0.3
8,2006KW04,100.3,-2.3,100.3,-2.3
9,2006JJ00,100.1,0.1,100.1,0.1
10,2007KW01,102.2,2.7,102.2,2.7
11,2007KW02,103.2,2.7,103.2,2.7
12,2007KW03,105.6,5.6,105.6,5.6
13,2007KW04,107.9,7.6,107.9,7.6
14,2007JJ00,104.7,4.6,104.7,4.6
15,2008KW01,110.0,7.6,110.0,7.6
16,2008KW02,110.0,6.6,110.0,6.6
17,2008KW03,110.3,4.5,110.3,4.5
18,2008KW04,112.8,4.5,112.8,4.5
19,2008JJ00,110.8,5.8,110.8,5.8
20,2009KW01,111.4,1.3,111.4,1.3
21,2009KW02,110.6,0.5,110.6,0.5
22,2009KW03,110.5,0.2,110.5,0.2
23,2009KW04,107.2,-5.0,107.2,-5.0
24,2009JJ00,109.9,-0.8,109.9,-0.8
25,2010KW01,103.8,-6.8,103.8,-6.8
26,2010KW02,105.0,-5.1,105.0,-5.1
27,2010KW03,103.6,-6.2,103.6,-6.2
28,2010KW04,105.7,-1.4,105.7,-1.4
29,2010JJ00,104.5,-4.9,104.5,-4.9
30,2011KW01,104.2,0.4,104.2,0.4
31,2011KW02,104.1,-0.9,104.1,-0.9
32,2011KW03,103.9,0.3,103.9,0.3
33,2011KW04,103.2,-2.4,103.2,-2.4
34,2011JJ00,103.8,-0.7,103.8,-0.7
35,2012KW01,98.0,-6.0,98.0,-6.0
36,2012KW02,101.1,-2.9,101.1,-2.9
37,2012KW03,97.5,-6.2,97.5,-6.2
38,2012KW04,98.6,-4.5,97.0,-6.0
39,2012JJ00,98.8,-4.8,98.4,-5.2
